Episode,Average_Reward
0,4.445844839077509
1,2.680111868350185
2,1.7127777343362303
3,-1.6258935837807433
4,1.5954635253952236
5,-1.817601973992845
6,0.20517278685679416
7,-2.2799589928430137
8,-0.22050631545644278
9,-1.3735124724049699
10,0.31208606767977554
11,-1.0949819733303272
12,0.5824857768337236
13,-0.5001363738519369
14,3.4185292619853986
15,1.3231491618465936
16,2.59687505950569
17,-1.6321604074194733
18,0.8416148404350872
19,1.0604786999735398
20,2.8807483311528888
21,-2.0070158017489943
22,3.6499619005818613
23,-0.6985759181505088
24,8.845740397133733
25,1.457620690687856
26,1.883936667123477
27,0.232387743064863
28,0.43818236902751845
29,1.8486855476785413
30,1.7661111027779763
31,-1.5444079376645379
32,0.11857477807805411
33,1.3832073663372542
34,2.8152135729420076
35,-2.1814036505634005
36,0.6666831100692624
37,1.1610866390113344
38,-0.3494450412001262
39,-2.373705866011549
40,0.4407150091677821
41,-1.497413693248561
42,1.8338780153320047
43,0.5224737260293725
44,2.015282611680198
45,-1.3425494682673031
46,2.6050974635161324
47,-2.3829072451730617
48,6.035131283498619
49,-0.7257472008451368
50,3.024570878982297
51,-2.7163923860909205
52,2.675747545510428
53,-2.3544166226003624
54,2.856274047643799
55,-2.124185607176695
56,-1.7951708385864709
57,-1.4975960541233975
58,0.4418409268018193
59,1.716167005011245
60,2.1875570806680567
61,-1.1459314699820669
62,2.663313371067748
63,-2.1225051876862393
64,3.9606574961521765
65,-3.867927008153579
66,2.068400967492606
67,-0.7060371605725384
68,2.440877395265717
69,0.654348654041309
70,2.548220930806646
71,1.7954553832123161
72,3.4197486951674256
73,0.44073414457605176
74,3.015660873405524
75,1.00001940915291
76,3.5886189657235645
77,0.6564867779686717
78,3.001969902909523
79,-9.001469833393948
80,3.064633342830412
81,-1.5199813585456898
82,3.9741168918346585
83,-2.01995423190868
84,2.374034699551392
85,-2.003504814102207
86,3.0019282276814283
87,-1.7221146534443161
88,2.3511100738851427
89,0.7567206982169165
90,3.5227920984466032
91,1.7225122857862953
92,7.392831546759335
93,2.0967622611194128
94,3.1840180469534416
95,-0.6002243249556989
96,7.7733581526602284
97,1.2643561303956403
98,3.8057163828454845
99,-1.7894796930616619
100,2.9284784701451723
101,-1.4243367652015086
102,3.4445219918484056
103,0.6977628578882551
104,3.9394228669155105
105,-0.2419771259291345
106,2.6309963934875142
107,-2.3114933934143824
108,3.0566764697650504
109,-1.349955515920282
110,2.831171983306249
111,-2.464674172024621
112,1.8949528151032844
113,0.7640819435398538
114,2.821089477013876
115,1.4811714439225634
116,3.642388427195895
117,-0.3148131431129943
118,3.6280014123791706
119,1.8762625455798772
120,3.206809844503645
121,-1.7741863477660147
122,2.783923886051103
123,-1.9139032669404374
124,2.825298118329085
125,-1.5015588195217178
126,3.4443515412289205
127,1.1538797040240434
128,3.5518435257178793
129,-0.13196470276208852
130,3.2076202937335183
131,0.8037439807892761
132,4.235834450518549
133,-1.7700671923330142
134,2.7096321827526406
135,0.9454584056034985
136,2.699877127429629
137,0.10878519113288476
138,3.8805129679771975
139,-1.2984566410977612
140,3.2872257764034987
141,-0.756600435150507
142,2.1235163460400335
143,-11.01766167427639
144,2.997471092520673
