Episode,Average_Reward
0,66.21125573781406
1,53.11328510443574
2,46.79881818368811
3,64.35850520685477
4,14.983430175221244
5,58.46554514149648
6,60.211468208226144
7,62.58548645479914
8,66.75528341175072
9,69.12844025295576
10,72.5810830064427
11,74.00611293058489
12,60.25268163492082
13,81.2198519231968
14,63.65585098244248
15,46.10486221198175
16,2.4153557497397435
17,69.15868489151158
18,64.36655873779526
19,67.314836091799
20,57.8791075665128
21,72.0603448764209
22,57.99359693737406
23,74.52284529007618
24,69.24987455839674
25,71.73333363760756
26,76.09397644210947
27,67.6796151544289
28,42.76164606865332
29,52.947891429807754
30,70.08454878298298
31,66.83669073830204
32,64.25696767777202
33,62.18424955099584
34,77.94354511408072
35,68.42292496310809
36,29.462680865448153
37,68.05272661589954
38,57.0932770359852
39,54.10881943125195
40,54.712757444580355
41,75.08925011925137
42,62.5035372526471
43,57.7715957709279
44,45.07800483773051
45,71.31342856021656
46,45.701198290020486
47,69.08268012181404
48,62.64192136127663
49,72.1103590785106
50,48.22642506963954
51,68.84871482009427
52,62.32869439383089
53,63.779280455867436
54,47.01212830189525
55,65.65586520702982
56,65.42940245186628
57,67.94244483783494
58,46.88136671663157
59,72.16742469854042
60,54.49991463321319
61,68.78862344063711
62,47.84671347541002
63,72.52003815405186
64,45.02426433148234
65,72.23891502327606
66,47.82653673836261
67,66.31260294896862
68,63.88465388416311
69,63.79025999275241
70,59.41212885944048
71,65.64065228792927
72,55.64942444023014
73,70.4496774250362
74,23.141714602552415
75,85.62878085464801
76,77.27318635851918
77,73.1039085933205
78,66.82212432489946
79,71.46478506370784
80,58.02707148868886
81,62.51368389966843
82,62.937908933884614
83,62.448038420543945
84,43.52064313485198
85,59.843783895557785
86,61.14673836547137
87,67.57773586356032
88,22.524048826841273
89,76.47311733524003
90,55.528253470903515
91,70.76948542751866
92,41.72375856349415
93,65.93230344133836
94,44.63769405580597
95,72.90303331707466
96,53.77673640125325
97,68.84660661552633
98,59.327984227490774
99,63.89641025722024
100,42.51027530164331
101,64.97820759216322
102,43.6606782265504
103,57.36581007831543
104,55.66633089185771
105,72.042914610411
106,54.67167796446297
107,67.56688113345176
108,60.71477088769844
109,69.31089484915894
110,57.64976852778508
111,68.38017099330659
112,60.62913089702528
113,63.35910671660352
114,46.45761383182209
115,67.73723017469271
116,40.97349744650523
117,68.08853717433554
118,63.30476977260722
119,66.80656947031854
120,55.92671710555594
121,59.08882639418674
122,60.55531591040473
123,67.97919622836329
124,58.25254071884788
125,67.35809722915029
126,44.326274920566156
127,67.51420880192096
128,60.9441805286425
129,69.14159675918178
130,45.21890475965524
131,63.72898120463852
132,66.55992279664109
133,68.03386525526128
134,39.57370343574684
135,67.85875896138364
136,44.64938669704182
137,67.7374603528423
138,60.45661126998754
139,69.09513045760065
140,41.86467254841163
141,69.84550485504643
142,43.751423354777565
143,69.68962234776087
144,47.6045903573253
145,64.80897499413632
146,58.33112437951187
147,65.96962031882104
148,47.00060098625404
149,71.79297061384734
150,41.13128370300928
151,68.35336921806217
152,60.124907356360374
153,68.97866202161471
154,46.18776001985072
155,69.43518728511675
156,57.55889517513456
157,70.16431873169327
158,55.24732742754683
159,70.80950154747929
160,60.704341343307114
161,69.27165800916879
162,55.13493324294684
163,70.13947371724458
164,55.34664341340833
165,62.340284041367575
166,58.92151447311733
167,69.25465490643182
168,45.452322665098535
169,46.450414975043195
170,57.4453336488822
171,69.49322075580359
172,43.59958534150936
173,69.84387311098904
174,55.04563695267701
175,59.826251332925416
176,43.39850709909597
177,71.80226799824608
178,57.94669719441013
179,69.91086060183088
180,54.93249379326257
181,71.75394886827674
182,42.70307454934367
183,64.13188845319917
184,42.09351557969291
185,69.79940185825357
186,57.62582861242721
187,68.77472308122276
188,64.97411268653264
189,67.79092433023911
190,62.861594307184205
191,65.93422121549806
192,60.69618177299245
193,68.12289465214387
194,55.437047475867324
195,68.24298125120995
196,58.41582908913257
197,72.11406195817358
198,62.47921992651188
199,70.26595021579226
